,source,target,year,weight
450,sparx asia investment advisors limited,expedition advisors limited,2012,1
451,morgan stanley asia limited,ubs securities asia limited,2011,1
452,hsbc corporate finance (hong kong) limited,rothschild & co hong kong limited,2006,1
453,rothschild & co hong kong limited,credit suisse (hong kong) limited,2008,1
454,credit suisse (hong kong) limited,goldman sachs (asia) l.l.c.,2011,1
455,haitong international securities company limited,yunfeng financial markets limited,2017,1
456,yunfeng securities limited,oneplatform asset management limited,2012,1
457,citigroup global markets asia limited,credit suisse (hong kong) limited,2018,1
458,credit suisse (hong kong) limited,deutsche securities asia limited,2015,1
459,stifel hong kong limited,pinxin (hong kong) asset management co. limited,2016,1
460,nomura international (hong kong) limited,citigroup global markets asia limited,2020,1
461,deloitte & touche corporate finance limited,glory sun securities limited,2015,1
462,citic futures international company limited,zhongda (hongkong) futures limited,2017,1
463,lehman brothers asia limited,blackstone group (hk) limited (the),2010,1
464,jefferies hong kong limited,da cheng international asset management company limited,2020,1
465,ontario teachers' pension plan (asia) limited,morgan stanley asia limited,2010,1
466,morgan stanley asia limited,t. rowe price hong kong limited,2019,1
467,t. rowe price hong kong limited,balyasny asset management (hong kong) limited,2016,1
468,huatai financial holdings (hong kong) limited,china xin yongan futures company limited,2011,1
469,china international capital corporation hong kong futures limited,hfz capital management limited,2015,1
470,tianli financial limited,spring asset management limited (hk),2021,1
471,da cheng international asset management company limited,morgan stanley asia limited,2008,1
472,forshine asset management limited,prior asset management limited,2016,1
473,chief securities limited,forestone (hk) asset management limited,2021,1
474,ccb international capital limited,china international capital corporation hong kong securities limited,2022,1
475,barclays capital asia limited,goldman sachs (asia) l.l.c.,2015,1
476,credit suisse (hong kong) limited,jefferies hong kong limited,2011,1
477,cgs-cimb securities (hong kong) limited,bgc securities (hong kong) llc,2015,1
478,goldman sachs (asia) securities limited,deutsche securities asia limited,2009,1
479,mirae asset securities (hk) limited,morningstar investment management asia limited,2014,1
480,morningstar investment management asia limited,merrill lynch (asia pacific) limited,2007,1
481,merrill lynch (asia pacific) limited,morningstar investment management asia limited,2015,1
482,cambridge strategy (asset management) asia limited (the),"mesirow financial hong kong, limited",2019,1
483,standard life investments (hong kong) limited,abrdn hong kong limited,2021,1
484,credit suisse securities (hong kong) limited,barclays capital asia limited,2018,1
485,deutsche securities asia limited,clsa limited,2010,1
486,clsa limited,bauhinia capital partners limited,2016,1
487,clsa limited,ubs securities asia limited,2014,1
488,pioneer global investments (hk) limited,morgan stanley asia limited,2004,1
489,fortis investment management hong kong limited,bnp paribas asset management asia limited,2008,1
490,macquarie capital limited,general enterprise management services (hk) limited,2010,1
491,general enterprise management services (hk) limited,arf investment management (hk) limited,2009,1
492,ubp asset management asia limited,sumo asset management limited,2012,1
493,bfam partners (hong kong) limited,goldman sachs futures (asia) limited,2009,1
494,goldman sachs futures (asia) limited,elliott advisors (hk) limited,2013,1
495,visiongain capital limited,icea capital limited,nan,1
496,icea capital limited,visiongain capital limited,2016,1
497,morgan stanley asia limited,clsa limited,2018,1
498,yunfeng financial markets limited,rhb capital hong kong limited,2010,1
499,rhb capital hong kong limited,platinum securities company limited,2009,1
500,credit suisse (hong kong) limited,lehman brothers asia limited,2007,1
501,lehman brothers asia limited,credit suisse securities (hong kong) limited,nan,1
502,credit suisse securities (hong kong) limited,citigroup global markets hong kong futures and securities limited,2010,1
503,aberdeen international investment management limited,nomura international (hong kong) limited,2008,1
504,vc futures limited,sbi china capital securities limited,nan,1
505,sbi china capital securities limited,oriental patron securities limited,2011,1
506,mib securities (hong kong) limited,kingsway financial services group limited,2008,1
507,ubs asset management (hong kong) limited,blackrock asset management north asia limited,2014,1
508,eastspring investments (hong kong) limited,dws investments hong kong limited,2011,1
509,eastspring investments (hong kong) limited,harvest global investments limited,2009,1
510,harvest global investments limited,rreef china reit management limited,2012,1
511,fwd financial planning limited (hk),cbh asia limited,2015,1
512,fwd financial planning limited (hk),wealth management group limited,2007,1
513,pioneer global investments (hk) limited,bny mellon investment management hong kong limited,2019,1
514,bny mellon investment management hong kong limited,mercer investments (hk) limited,2011,1
515,augment wealth advisors limited,pharo management (hk) limited,2015,1
516,pharo management (hk) limited,goldman sachs (asia) l.l.c.,2008,1
517,goldman sachs (asia) l.l.c.,merrill lynch (asia pacific) limited,2007,1
518,natixis asia limited,mirae asset global investments (hong kong) limited,2022,1
519,ubs securities asia limited,merrill lynch futures (hong kong) limited,2010,1
520,hsbc corporate finance (hong kong) limited,goldman sachs (asia) l.l.c.,2011,1
521,"china merchants securities (hk) co., limited",cmb international capital limited,2019,1
522,neuberger berman asia limited,merrill lynch (asia pacific) limited,2008,1
523,merrill lynch (asia pacific) limited,tcw asia limited,2015,1
524,china industrial securities international asset management limited,pins asset management (asia) limited,2017,1
525,credit suisse (hong kong) limited,goldman sachs (asia) l.l.c.,2021,1
526,goldman sachs (asia) l.l.c.,haitong international capital limited,2016,1
527,cni securities group limited,wing fung futures limited,2007,1
528,icbc international research limited,boci research limited,2015,1
529,fidelity management & research (hong kong) limited,pyramis global advisors (hong kong) limited,2008,1
530,bocom international (asia) limited,cmb international asset management limited,2021,1
531,celestial securities limited,yuanta securities (hong kong) company limited,2015,1
532,yuanta securities (hong kong) company limited,haitong international securities company limited,2017,1
533,"china merchants securities (hk) co., limited",gf securities (hong kong) brokerage limited,2014,1
534,piper jaffray asia securities limited,china everbright securities (hk) limited,2009,1
535,ceb international capital corporation limited,fosun hani securities limited,2020,1
536,fosun hani securities limited,guotai junan capital limited,2021,1
537,trivest advisors limited,allianz global investors asia pacific limited (sfc:aoa171),2007,1
538,lazard asia (hong kong) limited,morgan stanley asia limited,2006,1
539,fortune (hk) securities limited,zero2ipo capital limited,2021,1
540,morgan stanley asia limited,"anglo chinese corporate finance, limited (hk)",2006,1
541,icap securities hong kong limited,credit suisse (hong kong) limited,2019,1
542,eastspring investments (hong kong) limited,macquarie capital limited,2019,1
543,j.p. morgan broking (hong kong) limited,ubs securities asia limited,2007,1
