,source,target,year,weight
26683,upmax securities limited,china times securities limited,2013,1
26684,agifel international limited,petiole management (hong kong) limited,2011,1
26685,avenue family office limited,hang tang international capital management limited,2021,1
26686,celestial securities limited,"china merchants securities (hk) co., limited",2020,1
26687,bocom mpf & financial services company limited,bank of communications trustee limited,2005,1
26688,bank of communications trustee limited,bocom mpf & financial services company limited,2012,1
26689,yu on commodities company limited,cinda international securities limited,2013,1
26690,cinda international securities limited,yu on securities company limited,2008,1
26691,ewarton securities limited,chief securities limited,2003,1
26692,chief securities limited,ewarton securities limited,2010,1
26693,icbc asset management (global) company limited,cmb international securities limited,2020,1
26694,js cresvale securities international limited,emperor securities limited,2007,1
26695,allianz global investors asia pacific limited (sfc:bfe699),value partners limited,2015,1
26696,value partners limited,ubs securities asia limited,2013,1
26697,sumitomo mitsui trust (hong kong) limited,principal global investors (asia) limited,2011,1
26698,golden hill investment company limited,luk fook securities (hk) limited,2013,1
26699,aim y. k. hui investment consultants limited,phillip commodities (h.k.) limited,2003,1
26700,phillip securities (hong kong) limited,pins asset management (asia) limited,2017,1
26701,karl-thomson securities company limited,csfg international securities limited,2008,1
26702,clc asset management limited,rui asset management company limited,2019,1
26703,rui asset management company limited,target capital management limited (hk),2010,1
